Sample	分组	Class	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	G101	G102	G103	G104	G105	G106	G107	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G121	G122	G123	G124	G125	G126	G127	G128	G129	G130	G131	G132	G133	G134	G135	G136	G137	G138	G139	G140	G141	G142	G143	G144	G145	G146	G147	G148	G149	G150	G151	G152	G153	G154	G155	G156	G157	G158	G159	G160	G161	G162	G163	G164	G165	G166	G167	G168	G169	G170	G171	G172	G173	G174	G175	G176	G177	G178	G179	G180	G181	G182	G183	G184	G185	G186	G187	G188	G189	G190	G191	G192	G193	G194	G195	G196	G197	G198	G199	G200	G201	G202	G203	G204	G205	G206	G207	G208	G209	G210	G211	G212	G213	G214	G215	G216	G217	G218	G219	G220	G221	G222	G223	G224	G225	G226	G227	G228	G229	G230	G231	G232	G233	G234	G235	G236	G237	G238	G239	G240	G241	G242	G243	G244	G245	G246	G247	G248	G249	G250	G251	G252	G253	G254	G255	G256	G257	G258	G259	G260	G261	G262	G263	G264	G265	G266	G267	G268	G269	G270	G271	G272	G273	G274	G275	G276	G277	G278	G279	G280	G281	G282	G283	G284	G285	G286	G287	G288	G289	G290	G291	G292	G293	G294	G295	G296	G297	G298	G299	G300	G301	G302	G303	G304	G305	G306	G307	G308	G309	G310	G311	G312	G313	G314	G315	G316	G317	G318	G319	G320	G321	G322	G323	G324	G325	G326	G327	G328	G329	G330	G331	G332	G333	G334	G335	G336	G337	G338	G339	G340	G341	G342	G343	G344	G345	G346	G347	G348	G349	G350	G351	G352	G353	G354	G355	G356	G357	G358	G359	G360	G361	G362	G363	G364	G365	G366	G367	G368	G369	G370	G371	G372	G373	G374	G375	G376	G377	G378	G379	G380	G381	G382	G383	G384	G385	G386	G387	G388	G389	G390	G391	G392	G393	G394	G395	G396	G397	G398	G399	G400	G401	G402	G403	G404	G405	G406	G407	G408	G409	G410	G411	G412	G413	G414	G415	G416	G417	G418	G419	G420	G421	G422	G423	G424	G425	G426	G427	G428	G429	G430	G431	G432	G433	G434	G435	G436	G437	G438	G439	G440	G441	G442	G443	G444	G445	G446	G447	G448	G449	G450	G451	G452	G453	G454	G455	G456	G457	G458	G459	G460	G461	G462	G463	G464	G465	G466	G467	G468	G469	G470	G471	G472	G473	G474	G475	G476
12667.X2052632	训练组	Control	0	0	0	6	55	7	13	47	0	26	0	0	0	0	16	0	0	0	1	0	45	0	19	0	199	29	0	0	3369	978	0	12	0	48	31	0	40	46	0	0	1	2	9	0	539	0	16	1	20	2	55	0	0	0	0	0	468	30	0	11	0	24	496	9	135	0	0	20	0	4	104	0	109	0	0	0	0	0	0	302	1	0	15	2	6	10	4	6	17	5	230	0	0	325	4	0	0	0	0	7	0	0	0	4869	115	0	0	0	0	0	0	19	7	0	0	25	0	25	411	0	0	0	0	0	0	123	8	16	0	13	13	0	0	0	1	0	1	3	0	0	1	20	0	8	17	0	43	23	4	909	26	0	0	28	0	11	0	5	0	227	0	0	0	0	0	27	0	0	494	10	0	4	2	72	0	3	583	0	24	0	8	0	9	0	0	0	0	0	0	11	0	0	0	385	28	0	0	49	162	0	89	325	45	0	0	0	0	13	350	0	0	0	0	8	7	5	0	221	0	16	1	0	4	0	1	0	640	6	78	0	11	715	8	13	12	1	0	39	29	1	100	8	2	17	68	0	0	5	0	6	12	1126	0	11	42	13	1971	0	16	0	0	0	250	266	21	0	0	0	84	0	2	0	0	331	0	0	1	0	50	0	0	12	0	20	11	1	0	4	9	16	6	0	5	8	0	0	56	1	46	200	0	0	12	0	0	0	243	0	45	106	54	0	0	16	0	52	0	14	42	17	17	26	11	0	0	0	0	0	3	0	41	0	37	22	5313	0	0	4	227	64	13	1260	6	589	0	122	0	0	2	3	176	17	425	1	68	784	0	0	0	29	1	267	0	8	840	446	0	17	12	0	0	150	94	14	0	0	154	105	0	0	0	0	1	5	32	0	0	4	53	0	0	1	0	4	0	140	0	1	12	8	0	0	177	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12667.X2052835	训练组	Control	2	0	0	0	15	0	0	7	0	0	0	0	0	1	9	10	3	0	0	0	10	0	4	0	41	11	0	0	1004	286	0	1	0	14	8	0	25	8	0	0	0	2	0	0	137	0	3	9	8	0	28	0	0	0	0	5	133	7	0	1	0	1	143	1	57	0	1	1	0	0	25	0	48	0	1	0	0	0	0	50	0	0	1	0	0	0	0	0	0	4	69	0	0	80	0	2	3	1	0	5	0	0	0	1362	54	0	0	1	0	0	0	15	0	0	0	1	0	9	87	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	4	0	0	3	0	13	2	0	243	11	0	0	11	0	1	0	0	0	40	0	0	0	0	0	11	0	0	203	7	1	0	8	11	0	0	130	0	7	4	1	0	5	4	0	0	0	0	0	2	0	0	4	74	8	0	0	11	28	0	17	65	22	0	0	0	0	1	750	2	0	0	0	3	4	2	0	80	0	3	0	0	1	0	0	0	171	0	9	3	0	120	4	0	0	2	0	4	11	1	21	0	0	1	31	0	0	0	0	0	2	254	0	0	11	0	601	0	0	0	0	0	56	51	8	2	0	0	22	0	1	0	1	95	0	0	4	0	17	0	1	0	0	2	0	0	0	0	1	0	1	0	6	3	0	0	9	6	10	66	0	1	5	2	0	0	94	0	15	32	7	0	1	4	0	8	0	4	16	0	7	10	0	0	0	0	2	0	0	0	4	0	6	0	1596	0	0	0	35	24	8	301	1	258	0	28	0	0	1	0	32	2	158	4	20	189	0	0	0	13	4	98	0	0	197	106	0	0	5	0	0	54	27	0	0	0	35	16	0	0	0	2	0	0	1	0	0	1	18	0	0	0	0	0	0	19	0	0	13	2	0	0	58	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12667.X2056691	训练组	Control	0	0	0	0	67	0	0	37	0	0	7	2	0	0	34	0	0	1	0	0	24	0	12	0	119	35	0	0	3129	461	8	0	0	73	13	4	23	45	4	0	0	0	3	0	546	0	9	0	7	0	205	0	0	0	0	0	461	16	0	0	0	4	929	3	87	0	0	2	4	0	127	0	223	0	0	0	0	0	0	131	8	0	20	7	6	0	0	0	0	8	490	0	0	323	6	0	10	0	0	14	0	0	0	2644	268	10	0	0	0	0	0	41	0	0	0	5	0	78	240	0	0	0	0	5	0	106	0	0	0	16	13	1	0	0	0	0	0	0	0	0	0	19	0	0	64	0	7	9	5	932	16	0	8	13	0	3	0	1	0	103	0	0	0	0	0	22	0	14	394	11	0	0	0	118	17	0	570	1	55	0	4	0	0	0	0	0	0	0	0	3	0	0	0	163	8	0	0	25	154	0	33	135	66	0	0	0	0	21	355	0	2	0	0	9	1	37	0	155	0	16	0	0	4	0	2	0	555	9	54	6	0	578	11	13	0	0	0	20	13	4	85	0	0	15	72	0	0	8	0	6	6	779	0	0	17	0	1598	0	15	0	0	0	175	269	52	0	0	0	79	0	14	0	1	249	0	0	1	0	27	18	0	4	0	9	1	0	0	0	17	3	14	7	0	0	0	13	10	0	57	128	0	0	68	1	0	0	297	6	18	64	54	0	0	21	1	27	1	25	10	12	59	3	2	0	12	0	0	0	0	0	12	10	27	5	4807	0	0	3	159	87	32	1195	0	610	0	49	7	0	18	0	166	0	560	32	48	626	0	0	0	15	2	277	0	0	805	330	6	0	21	0	0	95	53	0	0	0	80	67	0	0	1	0	0	0	19	0	0	3	27	0	0	15	0	12	0	114	0	3	2	15	11	0	78	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12667.X2059586	训练组	Control	0	0	0	0	35	0	4	15	0	0	0	2	0	0	5	3	0	1	0	0	25	0	15	0	89	11	0	0	1852	71	0	0	3	23	5	0	10	10	6	0	0	0	1	0	266	0	1	2	2	0	60	0	0	0	0	0	200	14	0	0	0	5	255	0	111	0	7	0	0	0	74	0	60	2	0	0	0	0	0	51	0	0	7	0	0	0	0	7	0	0	148	0	0	173	2	2	0	0	0	0	0	0	0	1308	85	0	0	0	0	0	0	3	0	0	0	1	0	28	167	1	0	0	0	0	0	39	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	7	0	0	3	3	20	5	0	537	2	0	0	9	0	5	1	0	0	58	9	0	0	0	0	7	1	0	231	0	0	0	0	34	0	0	286	0	10	0	4	0	0	1	0	0	0	0	0	0	0	0	0	115	14	0	2	8	80	0	15	102	27	0	0	0	0	13	131	0	0	0	0	17	1	5	0	99	0	17	0	0	6	0	0	0	220	4	15	1	0	284	1	0	0	0	2	1	16	2	31	2	7	0	53	0	0	0	0	0	7	370	0	5	21	0	798	0	0	0	0	0	131	203	10	0	0	0	40	0	4	0	0	120	0	0	1	0	13	1	0	0	0	17	0	0	0	1	7	0	17	0	4	0	0	8	19	0	25	52	0	0	23	0	0	0	92	0	8	40	8	0	6	5	0	8	9	2	46	0	2	0	0	0	0	0	1	0	3	0	13	0	0	3	2909	0	0	3	162	42	0	655	0	234	0	34	0	0	0	3	57	1	326	8	27	301	0	0	0	8	2	147	0	0	524	84	0	0	4	0	0	61	29	0	0	0	72	38	0	0	0	0	0	0	7	0	0	1	23	0	0	3	3	3	0	31	0	2	10	4	0	0	67	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12667.X2060998	训练组	Control	7	0	0	0	70	0	0	14	0	0	0	0	9	0	23	0	0	4	0	0	29	5	0	0	148	19	0	0	3192	869	8	0	0	66	14	0	37	38	4	0	0	0	6	0	598	0	17	19	10	0	91	0	0	0	0	0	430	31	0	1	0	12	1478	0	158	0	0	0	1	0	104	0	161	0	5	0	0	0	14	158	0	0	6	9	4	0	0	0	0	0	722	0	0	339	20	0	5	0	18	7	10	0	0	2743	303	0	0	0	0	0	0	37	0	0	0	0	3	57	305	8	0	0	0	0	0	82	0	0	0	0	10	0	0	0	14	1	0	9	0	0	0	51	0	0	2	0	18	8	0	906	1	16	0	24	1	0	0	5	2	117	0	0	0	0	0	8	0	0	681	13	4	0	0	102	0	0	583	0	29	0	19	0	0	12	0	0	0	0	0	5	0	0	0	222	0	1	0	50	206	0	75	131	44	0	0	10	0	22	270	0	0	0	0	13	7	33	0	148	0	16	0	0	10	9	0	0	511	16	68	0	1	474	3	0	4	0	11	30	22	6	69	0	4	4	66	0	0	0	0	12	14	813	0	0	19	0	1742	0	8	0	0	0	243	201	34	0	0	0	42	0	3	4	0	402	0	1	14	0	46	1	0	0	0	1	0	0	0	0	7	12	15	2	0	4	0	0	54	0	15	61	0	5	61	0	0	0	331	0	64	105	22	0	6	0	0	28	0	17	11	0	27	4	0	0	2	0	3	0	0	0	10	0	32	7	5265	0	1	3	182	41	12	1113	0	742	1	23	1	0	22	5	130	0	563	9	12	532	0	0	0	8	20	230	2	0	859	828	0	0	13	0	0	277	114	0	0	0	142	59	0	0	0	0	0	0	2	0	0	0	98	0	0	2	0	4	0	84	0	0	23	0	0	13	78	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12667.X2061208	训练组	Control	6	0	0	0	65	0	2	17	0	11	6	9	2	0	20	0	0	4	4	0	26	3	5	0	137	3	0	0	2269	314	7	0	0	44	14	0	33	4	7	0	0	0	3	4	297	0	6	2	22	0	37	0	0	0	0	0	448	50	0	2	0	10	295	2	114	0	0	0	0	0	63	0	31	0	5	0	2	2	0	96	1	0	8	0	0	4	0	0	0	6	144	12	0	161	12	0	1	0	0	23	0	0	0	1965	81	4	0	0	0	0	2	57	1	0	0	3	0	45	4321	0	0	0	0	0	0	91	0	0	0	3	1	0	6	0	7	0	0	2	0	0	4	10	0	0	4	0	178	0	0	678	12	0	0	5	0	4	0	1	0	109	0	0	0	0	9	4	0	1	381	0	5	0	1	75	0	0	324	0	32	2	3	0	0	0	0	0	0	5	0	4	0	0	0	137	5	0	2	37	91	0	38	188	24	0	2	0	0	11	242	0	0	0	0	10	1	1	0	122	1	18	1	0	2	0	1	0	375	0	47	0	0	367	5	0	0	0	2	122	2	0	40	0	11	5	49	0	0	10	0	0	5	540	4	0	3	0	1231	0	6	0	1	0	158	316	17	0	0	0	61	0	1	0	0	340	0	0	2	0	31	1	0	0	0	17	0	0	0	0	4	7	3	0	6	0	3	2	25	2	7	90	0	6	8	0	0	0	110	0	13	71	20	0	4	15	3	23	4	6	14	13	15	0	1	0	0	0	0	0	1	0	1	3	15	4	3811	0	0	0	134	57	0	812	0	348	0	60	2	0	1	2	69	0	266	2	7	403	0	0	0	16	0	202	0	1	616	155	1	1	11	1	0	108	33	4	0	0	73	31	26	2	0	7	6	3	5	0	0	13	21	0	0	4	0	6	0	39	2	6	18	0	0	1	61	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12667.X2061316	训练组	Control	4	0	0	1	15	0	0	12	0	0	0	0	0	0	16	0	0	0	0	0	27	0	0	0	131	20	0	0	1983	345	0	0	0	27	13	0	9	41	0	0	0	2	6	0	311	0	7	12	7	3	41	0	0	0	0	0	280	14	0	0	0	2	154	0	55	0	0	0	0	1	37	0	36	1	0	1	0	0	0	138	0	0	0	0	2	2	0	0	0	0	85	3	0	159	1	0	0	0	0	10	0	0	0	1641	102	0	0	0	0	0	0	42	0	0	1	0	0	14	181	0	0	0	0	0	0	59	1	0	0	0	7	3	3	0	1	0	0	0	0	0	0	18	0	0	14	0	7	0	4	534	12	0	0	13	0	0	0	0	0	79	0	0	0	0	0	14	0	0	220	3	0	0	0	11	0	3	314	0	12	0	2	0	0	0	1	0	0	0	0	4	0	0	0	102	0	0	2	16	82	0	33	113	22	0	0	0	0	1	128	0	0	0	0	4	2	4	0	111	0	4	1	2	9	0	0	0	263	0	7	3	0	258	1	0	0	0	1	22	5	8	20	5	2	0	45	0	0	1	0	0	0	395	0	0	11	0	1087	0	6	0	2	0	128	121	5	0	0	0	60	0	5	0	0	108	0	0	1	0	23	5	0	0	0	14	0	0	0	2	0	5	15	0	0	9	0	2	13	0	4	67	0	0	14	0	0	0	146	0	7	34	2	0	3	5	0	23	0	8	21	1	5	0	0	0	1	0	0	0	0	0	6	3	42	0	2990	0	0	0	85	25	0	639	0	405	0	28	0	0	3	3	37	0	294	5	3	367	0	0	0	10	5	165	1	0	451	56	0	0	8	1	0	62	5	3	0	0	56	31	0	0	0	0	0	0	13	0	0	5	39	0	0	0	0	0	0	42	0	0	7	0	0	1	41	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12667.X2061574	训练组	Control	1	0	0	0	99	0	4	42	0	16	6	16	1	1	92	9	2	0	2	0	72	0	9	0	215	38	0	0	2892	581	7	0	0	86	48	2	123	26	3	0	0	2	7	0	523	0	19	26	29	8	98	1	0	0	0	0	927	29	0	19	0	23	594	0	147	4	0	0	9	0	208	0	186	0	7	0	2	33	10	206	2	0	12	1	0	0	0	7	0	10	418	9	12	396	13	10	0	30	10	14	0	0	0	7978	168	1	0	1	0	4	0	48	8	0	8	30	4	73	587	0	0	0	0	0	8	137	0	0	0	14	39	7	0	1	11	5	1	5	0	0	0	22	0	0	15	0	57	43	7	879	68	0	0	43	0	27	6	6	0	202	2	0	0	0	20	48	0	7	534	15	1	3	8	97	2	0	575	0	77	4	3	0	1	8	0	5	0	5	0	33	0	0	3	232	7	0	0	101	175	0	86	252	67	0	0	6	0	23	264	0	4	0	0	9	1	18	0	240	13	21	0	0	0	0	1	0	513	5	64	13	6	718	8	0	14	2	0	40	44	9	101	0	20	2	78	0	0	1	0	0	16	1768	4	1	52	14	1627	0	1	0	0	0	261	322	15	0	0	0	79	0	17	0	3	338	0	0	8	1	45	3	0	2	2	21	0	0	5	19	0	39	8	0	19	3	0	7	75	7	7	259	0	14	35	0	0	0	311	0	30	146	70	0	0	10	0	75	4	15	84	7	36	9	9	0	0	0	18	0	0	0	40	2	54	4	5686	4	0	4	221	84	0	1220	16	921	0	210	6	0	29	5	122	6	490	24	51	943	1	0	0	12	7	543	6	5	853	327	0	6	18	0	0	203	65	1	0	21	169	126	0	1	0	5	0	0	23	0	0	6	70	0	2	11	0	11	0	108	0	10	79	2	5	0	295	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
12667.X2062971	训练组	Control	0	1	0	0	23	2	2	5	0	5	1	0	0	0	10	2	0	0	0	0	12	1	0	0	105	8	0	0	1402	283	19	0	0	21	26	0	17	20	0	0	0	4	2	0	252	0	7	1	17	5	38	3	0	0	0	0	156	12	0	0	0	10	242	0	67	0	0	0	0	14	51	0	52	0	0	0	0	0	1	56	1	0	0	0	0	0	0	0	0	0	141	1	0	129	2	5	0	0	0	17	3	0	0	1408	79	4	0	1	0	0	0	6	0	0	0	0	0	22	135	0	0	0	1	0	0	47	2	0	0	1	4	0	0	0	0	5	3	0	0	0	0	12	0	0	1	0	12	2	3	390	14	0	0	4	0	3	0	0	0	49	0	0	0	0	0	6	0	0	221	1	2	12	1	26	0	3	210	0	14	0	2	0	0	0	0	0	0	0	0	4	5	0	0	136	7	0	7	6	61	0	23	83	26	0	0	0	0	13	106	0	0	0	0	8	0	14	0	56	0	5	0	0	12	0	1	0	160	0	9	4	0	283	1	0	0	0	0	38	1	5	16	0	6	1	31	0	0	0	1	2	11	325	0	0	3	0	755	0	5	0	0	0	108	75	5	0	0	0	29	0	4	0	0	74	0	0	12	0	11	0	0	0	0	7	0	0	0	2	4	11	14	0	1	0	0	0	31	0	12	42	0	1	22	0	0	0	96	0	15	43	12	0	0	16	3	16	0	4	12	0	4	1	0	0	0	0	0	4	0	0	4	0	18	1	1906	0	0	0	64	33	12	343	13	258	0	78	0	0	4	1	53	1	187	4	7	224	0	0	0	5	2	198	0	0	278	155	2	0	9	0	0	75	27	0	0	4	54	34	0	0	0	5	0	0	6	0	0	2	35	0	0	0	0	4	0	12	0	2	13	0	1	0	54	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12667.X2064352	训练组	Control	0	0	0	0	24	2	0	5	0	3	0	12	0	0	10	0	0	0	0	0	13	0	0	0	96	15	0	0	1426	604	0	0	0	17	5	0	15	2	0	0	2	0	3	0	190	0	5	0	1	0	35	2	0	0	0	0	164	2	0	4	0	3	138	0	104	0	0	0	0	0	17	0	25	0	0	0	1	0	0	71	0	0	1	1	2	0	3	0	0	0	74	0	0	98	9	0	5	1	6	0	0	0	0	1044	40	0	0	0	0	0	0	18	0	0	12	3	0	20	127	4	0	0	0	0	0	48	0	1	0	0	4	1	0	0	4	7	1	0	0	0	0	5	0	0	0	0	7	4	0	367	12	0	6	33	0	3	0	1	0	25	0	0	0	0	0	10	0	0	184	3	0	0	0	24	0	0	179	0	12	0	0	0	0	0	0	0	0	1	3	12	0	0	0	102	1	2	2	6	44	0	18	65	14	0	3	0	0	5	123	0	3	0	0	1	0	0	0	71	0	6	0	0	0	2	0	0	189	0	8	1	0	172	3	0	6	0	0	16	2	0	20	0	0	0	32	0	0	0	0	0	0	354	0	0	11	0	587	0	0	0	0	0	78	90	8	0	1	0	41	0	3	1	0	110	0	0	4	0	13	0	0	0	3	5	0	0	0	0	0	1	1	0	2	0	2	3	9	3	6	25	0	8	1	0	0	0	131	0	8	62	5	0	0	8	0	17	0	2	7	0	4	0	0	0	4	0	0	2	1	0	4	0	2	0	2029	0	0	2	73	10	3	401	0	366	0	33	6	0	3	2	38	7	180	1	22	195	0	0	0	0	4	170	0	0	354	223	0	4	11	0	0	77	14	2	0	0	55	26	0	0	0	0	0	0	5	0	0	0	9	0	0	0	0	0	0	23	0	6	0	0	0	0	27	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12667.X2064367	训练组	Control	0	0	0	0	14	0	2	11	0	3	0	0	0	0	16	0	0	1	0	0	24	0	7	0	96	5	0	0	1186	231	0	0	4	40	19	0	16	10	2	0	0	0	4	0	136	0	2	1	4	1	53	0	0	0	0	0	301	0	0	0	0	1	151	2	61	0	3	0	6	0	73	0	29	0	0	0	0	0	1	75	0	0	0	2	0	1	0	1	0	10	80	0	0	199	1	0	2	0	0	13	0	0	0	1628	32	2	0	0	0	0	0	11	0	0	1	0	0	18	173	12	0	4	0	0	0	59	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	18	4	0	14	2	15	7	0	317	14	0	0	3	0	15	0	2	3	47	0	0	0	0	1	2	0	0	198	5	0	0	0	17	1	0	286	0	26	0	3	0	1	0	0	0	0	0	0	5	0	0	0	73	1	0	2	7	46	0	17	61	10	0	1	0	2	12	102	0	0	0	0	5	0	5	3	69	1	1	0	0	1	0	1	0	265	0	5	0	0	264	6	0	0	0	0	47	8	0	31	0	0	7	32	0	0	0	0	0	10	423	0	0	5	0	778	0	0	0	0	0	122	108	6	0	0	0	75	0	3	0	0	158	0	0	1	1	37	2	0	0	0	7	0	0	5	6	0	9	7	0	11	0	0	0	11	3	0	37	0	5	10	0	0	0	103	0	2	28	8	0	2	5	0	17	0	2	7	0	10	6	0	0	0	0	0	0	2	0	0	0	10	2	2091	0	0	3	47	14	1	427	1	235	0	54	0	0	8	0	53	3	217	2	17	212	0	0	0	3	0	176	0	1	279	394	0	0	5	0	0	83	64	1	0	0	19	40	0	3	2	0	0	0	3	0	0	0	40	0	2	0	0	0	0	53	2	3	15	3	0	0	35	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12667.X2065210	训练组	Control	1	0	0	0	11	0	0	4	0	0	0	1	0	0	6	0	0	2	0	0	9	0	0	0	22	0	0	0	275	108	1	0	0	15	6	0	5	2	0	0	0	0	0	0	74	0	0	0	6	0	5	0	0	0	0	0	35	0	0	0	0	1	76	0	9	0	0	0	0	0	8	0	16	0	0	0	0	0	0	19	0	0	1	1	0	0	0	0	0	0	32	0	0	27	0	0	0	0	0	0	0	0	0	297	21	0	0	0	0	0	0	3	0	0	0	0	0	4	37	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	1	0	0	56	3	0	0	9	0	0	0	0	0	16	0	2	0	0	0	0	0	0	44	1	0	0	1	13	0	0	29	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	35	3	0	0	4	11	0	14	24	4	0	0	0	0	5	26	0	0	0	0	2	1	2	0	17	0	0	0	0	0	0	0	0	67	0	3	0	0	48	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	90	0	0	2	0	139	0	0	0	0	0	18	27	2	0	0	0	18	0	1	0	0	17	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	3	4	27	0	0	5	0	0	0	22	0	0	11	3	0	0	2	1	4	2	2	3	0	4	0	0	0	0	0	1	0	0	0	4	0	2	0	483	1	0	0	32	5	1	128	0	83	0	8	0	0	2	2	8	0	49	2	1	53	0	0	0	2	0	38	0	0	81	570	0	0	2	0	0	11	10	0	0	0	16	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	10	0	0	2	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
