OTU	A1	A2	A3	B1	B2	B3
ASV0177	0	0	0	0	1	0
ASV0178	3	1	3	0	0	0
ASV0179	0	0	0	0	0	1
ASV0180	0	0	0	0	0	2
ASV0181	0	0	0	27	2	38
ASV0182	0	2	1	0	1	0
ASV0183	0	1	0	0	0	0
ASV0184	0	2	0	0	0	0
ASV0185	0	0	0	6	273	44
ASV0186	0	0	0	0	1	0
ASV0187	0	0	0	2	2	0
ASV0188	0	0	0	0	0	1
ASV0189	0	0	0	0	0	9
ASV0190	0	0	0	0	0	1
ASV0191	1	0	0	0	0	0
ASV0192	0	0	0	0	1	0
ASV0193	0	0	0	0	2	0
ASV0194	0	0	0	1	3	0
ASV0195	128	227	128	133	303	34
ASV0196	2	0	0	0	0	0
ASV0197	0	0	0	0	1	0
ASV0198	0	0	0	0	2	1
ASV0199	0	0	0	0	0	1
ASV0200	0	0	0	2	0	0
ASV0201	0	0	0	1	0	0
ASV0202	0	0	0	0	3	0
ASV0203	0	0	0	0	1	0
ASV0204	0	0	0	1	47	0
ASV0205	0	0	0	1	1	0
ASV0206	0	0	0	0	1	0
ASV0207	1	0	0	0	0	0
ASV0208	1	2	0	0	0	0
ASV0209	3	3	0	0	1	1
ASV0210	0	1	0	0	0	0
ASV0211	54	68	39	58	64	7
ASV0212	0	0	0	0	0	2
ASV0213	0	0	0	0	0	2
ASV0214	0	0	0	1	0	0
ASV0215	0	0	0	4	1	0
ASV0216	0	0	0	1	0	0
ASV0217	0	0	0	1	0	0
ASV0218	0	0	0	1	0	1
ASV0219	10	10	22	3	0	0
ASV0220	0	0	0	32	18	20
ASV0221	0	0	0	0	3	0
ASV0222	0	0	0	0	1	0
ASV0223	0	0	0	0	1	0
ASV0224	0	0	0	1	1	0
ASV0225	0	0	0	1	0	0
ASV0226	0	0	0	1	0	0
ASV0227	0	0	0	1	0	0
ASV0228	0	0	0	1	0	0
ASV0229	0	0	0	1	9	0
ASV0230	0	0	0	1	0	0
ASV0231	0	0	0	24	55	73
ASV0232	16	6	3	0	0	0
ASV0233	0	1	0	0	0	0
ASV0234	0	0	0	2	1	1
ASV0235	1	2	0	0	0	0
ASV0236	0	0	0	0	1	0
ASV0237	23	74	16	0	0	0
ASV0238	0	0	0	0	1	0
ASV0239	0	0	0	0	1	0
ASV0240	0	0	0	0	1	0
ASV0241	0	0	0	3	3	3
ASV0242	0	0	0	1	0	0
ASV0243	0	0	0	0	0	1
ASV0244	0	0	0	0	1	2
ASV0245	0	0	0	7	107	64
ASV0246	0	1	0	0	0	0
ASV0247	0	0	0	1	19	0
ASV0248	0	0	0	0	0	2
ASV0249	0	0	0	1	0	0
ASV0250	0	0	0	11	0	5
ASV0251	0	0	0	0	2	0
ASV0252	0	0	0	1	0	0
ASV0253	0	0	0	4	2	0
ASV0254	0	0	0	17	79	15
ASV0255	0	0	0	1	0	0
ASV0256	0	0	0	0	1	0
ASV0257	0	0	0	5	12	11
ASV0258	1	0	0	0	0	0
ASV0259	0	0	0	2	0	0
ASV0260	0	0	0	1	0	0
ASV0261	0	0	0	2	0	0
ASV0262	0	0	0	1	0	0
ASV0263	0	0	1	0	0	0
ASV0264	0	0	1	0	0	0
ASV0265	94	148	82	1	0	0
ASV0266	0	0	2	0	0	0
ASV0267	0	0	1	0	0	0
ASV0268	0	0	0	1	0	4
ASV0269	0	0	0	0	1	0
ASV0270	0	0	4	0	0	0
ASV0271	0	0	0	3	0	0
ASV0272	0	0	0	8	0	0
ASV0273	1	1	0	0	0	0
ASV0274	0	0	0	8	0	3
ASV0275	0	0	0	13	45	27
ASV0276	0	0	0	0	0	3
ASV0277	0	0	0	0	0	1
ASV0278	36	31	28	2	1	5
ASV0279	0	0	0	0	0	1
ASV0280	0	0	0	4	1	7
ASV0281	0	0	0	0	0	1
ASV0282	2	1	0	0	0	0
ASV0283	0	0	0	1	2	1
ASV0284	377	370	322	2	0	2
ASV0285	40	22	25	22	44	19
ASV0286	0	0	0	0	1	0
ASV0287	0	0	0	0	0	1
ASV0288	3	2	0	6	20	57
ASV0289	0	0	0	1	0	0
ASV0290	0	0	0	2	0	0
ASV0291	0	0	0	1	0	0
ASV0292	0	0	0	43	10	0
ASV0293	0	0	0	2	0	0
ASV0294	0	0	0	1	1	0
ASV0295	0	0	0	2	0	0
ASV0296	0	0	0	0	1	0
ASV0297	0	0	0	16	7	6
ASV0298	0	0	0	1	0	0
ASV0299	0	0	0	0	1	0
ASV0300	0	0	0	0	1	1
ASV0301	0	0	0	3	4	0
ASV0302	0	1	0	53	0	9
ASV0303	0	0	0	0	1	0
ASV0304	1	5	0	0	0	0
ASV0305	1	1	1	0	0	0
ASV0306	0	0	0	0	0	1
ASV0307	0	0	0	0	0	1
ASV0308	0	0	0	0	0	1
ASV0309	0	0	0	1	0	0
ASV0310	0	0	0	0	1	0
ASV0311	0	0	0	0	4	2
ASV0312	0	0	0	0	2	0
ASV0313	0	0	0	0	2	0
ASV0314	0	0	0	0	0	2
ASV0315	0	0	0	1	0	0
ASV0316	0	2	0	5	9	8
ASV0317	0	0	0	112	91	44
ASV0318	0	0	0	0	0	6
ASV0319	0	0	0	0	1	2
ASV0320	0	0	1	0	0	0
ASV0321	0	0	0	1	0	0
ASV0322	0	0	0	0	1	0
ASV0323	0	0	0	1	0	0
ASV0324	0	0	0	1	0	0
ASV0325	0	0	0	2	0	0
ASV0326	0	0	0	15	53	14
ASV0327	0	0	0	6	2	27
ASV0328	0	0	0	1	0	0
ASV0329	0	0	0	0	1	0
ASV0330	0	0	0	0	1	0
ASV0331	0	0	0	0	8	0
ASV0332	0	2	0	0	0	0
ASV0333	0	1	1	0	0	0
ASV0334	0	0	3	0	0	0
ASV0335	17	20	8	0	0	0
ASV0336	2	9	2	0	0	0
ASV0337	100	97	125	0	1	0
ASV0338	1	0	0	0	0	0
ASV0339	0	0	0	1	0	0
ASV0340	0	0	0	1	0	0
ASV0341	0	0	0	1	0	0
ASV0342	1	0	0	0	0	0
ASV0343	0	0	0	0	1	0
ASV0344	0	0	1	0	0	0
ASV0345	0	0	0	0	0	1
ASV0346	0	0	0	46	0	11
ASV0347	0	0	0	1	0	1
ASV0348	0	0	0	0	0	2
ASV0349	0	0	0	0	0	1
ASV0350	0	0	0	5	0	4
ASV0351	0	0	0	2	0	0
ASV0352	0	0	0	13	0	2
ASV0353	0	0	0	0	1	0
ASV0354	0	0	0	1	0	0
ASV0355	0	0	0	1	0	0
ASV0356	5	0	2	0	0	0
ASV0357	3	7	1	45	185	34
ASV0358	1	3	0	0	0	0
ASV0359	0	0	0	0	2	0
ASV0360	0	0	0	0	0	1
ASV0361	0	0	0	2	0	1
ASV0362	0	0	0	0	0	1
ASV0363	0	0	0	0	5	2
ASV0364	7	4	0	0	0	0
ASV0365	0	0	0	0	1	0
ASV0366	0	0	0	0	1	0
ASV0367	49	30	38	0	0	0
ASV0368	0	0	0	0	1	0
ASV0369	0	0	0	1	0	0
ASV0370	0	0	0	4	4	4
ASV0371	1	1	0	0	0	0
ASV0372	0	0	0	0	0	1
ASV0373	0	0	0	3	0	1
ASV0374	0	0	0	6	3	3
ASV0375	0	0	0	0	0	2
ASV0376	0	0	0	0	0	1
ASV0377	29	43	2	60	185	590
ASV0378	0	0	0	18	22	9
ASV0379	0	0	0	0	0	1
ASV0380	0	0	0	2	0	0
ASV0381	0	0	0	0	1	0
ASV0382	0	0	0	1	0	0
ASV0383	0	0	0	1	0	0
ASV0384	0	0	0	4	12	3
ASV0385	0	0	0	0	1	0
ASV0386	0	0	0	0	1	0
ASV0387	0	0	0	0	4	15
ASV0388	0	0	1	0	0	0
ASV0389	5	0	0	1	1	1
ASV0390	0	0	0	5	0	1
ASV0391	0	0	0	1	0	0
ASV0392	3	2	2	1	1	1
ASV0393	0	0	0	2	0	3
ASV0394	0	0	0	0	2	0
ASV0395	0	0	0	4	0	2
ASV0396	0	0	0	1	0	0
ASV0397	0	0	0	28	353	0
ASV0398	0	0	0	1	0	0
ASV0399	6	10	2	0	0	0
ASV0400	0	0	0	3	0	0
ASV0401	0	0	0	1	0	0
ASV0402	0	0	0	1	0	0
ASV0403	14	42	13	0	0	0
ASV0404	1	1	0	0	0	0
ASV0405	0	4	2	0	0	0
ASV0406	0	1	0	0	0	0
ASV0407	0	0	0	1	0	0
ASV0408	0	0	0	0	0	146
ASV0409	0	0	0	0	0	3
ASV0410	0	0	0	0	0	1
ASV0411	1	0	0	0	0	0
ASV0412	0	1	0	1	0	0
ASV0413	3	3	9	0	0	0
ASV0414	0	0	0	0	0	1
ASV0415	0	0	0	0	2	1
ASV0416	1	0	0	0	0	0
ASV0417	0	0	0	0	1	0
ASV0418	0	0	0	0	1	0
ASV0419	0	0	0	25	1	0
ASV0420	0	0	0	0	1	0
ASV0421	0	0	0	0	2	0
ASV0422	0	0	0	1	2	0
ASV0423	0	0	0	1	0	0
ASV0424	0	0	0	0	1	0
ASV0425	0	0	0	0	1	0
ASV0426	0	0	0	12	0	0
ASV0427	0	0	0	0	1	0
ASV0428	0	0	0	1	0	0
ASV0429	0	0	0	41	21	6
ASV0430	0	0	0	0	1	0
ASV0431	0	0	0	0	1	0
ASV0432	0	0	0	0	1	0
ASV0433	1	1	0	0	0	0
ASV0434	0	0	0	0	0	1
ASV0435	0	0	0	0	0	2
ASV0436	0	0	0	27	2	0
ASV0437	1	0	0	0	0	0
ASV0438	0	0	0	0	0	1
ASV0439	1	4	0	0	0	0
ASV0440	0	0	0	3	0	6
ASV0441	0	3	1	1	7	9
ASV0442	0	0	0	0	1	0
ASV0443	0	0	0	0	4	0
ASV0444	0	0	0	1	7	0
ASV0445	0	0	1	0	0	0
ASV0446	0	0	0	28	12	4
ASV0447	0	0	0	1	0	0
ASV0448	0	0	0	4	0	0
ASV0449	0	0	0	1	0	0
ASV0450	0	0	0	2	0	1
ASV0451	0	0	0	1	0	0
ASV0452	0	1	1	0	0	0
ASV0453	1	1	1	0	0	0
ASV0454	8	0	2	0	1	0
ASV0455	0	0	0	8	5	13
ASV0456	0	0	0	3	0	2
ASV0457	0	0	0	0	0	1
ASV0458	0	0	0	0	0	2
ASV0459	0	0	0	0	0	4
ASV0460	2	1	1	0	0	0
ASV0461	0	0	0	0	0	1
ASV0462	0	0	0	0	0	1
ASV0463	0	0	0	66	116	72
ASV0464	0	0	0	0	0	1
ASV0465	0	0	0	1	0	0
ASV0466	0	0	0	5	8	4
ASV0467	0	0	0	1	0	0
ASV0468	0	0	0	1	0	0
ASV0469	0	0	0	1	0	0
ASV0470	0	0	0	1	0	1
ASV0471	0	0	0	0	1	0
ASV0472	0	0	0	0	6	0
ASV0473	0	0	0	0	2	0
ASV0474	2314	2167	3346	1	0	0
ASV0475	0	0	0	0	0	46
ASV0476	0	0	0	0	1	0
ASV0477	0	0	0	0	1	0
ASV0478	0	0	0	3	4	3
ASV0479	0	0	0	1	0	0
ASV0480	0	0	0	1	0	0
ASV0481	0	0	0	4	0	0
ASV0482	0	0	0	1	0	0
ASV0483	0	0	0	1	0	0
ASV0484	0	0	0	0	2	0
ASV0485	0	0	0	0	1	0
ASV0486	0	0	0	18	4	18
ASV0487	0	0	0	1	0	0
ASV0488	0	0	0	0	1	0
ASV0489	0	0	0	1	0	0
ASV0490	0	0	0	0	1	0
ASV0491	0	0	0	0	2	0
ASV0492	30	1	11	7	34	65
ASV0493	9	17	2	17	50	145
ASV0494	1	0	0	0	0	0
ASV0495	0	0	1	0	0	0
ASV0496	0	0	0	1	0	0
ASV0497	0	0	0	2	0	0
ASV0498	3	2	5	0	0	0
ASV0499	0	0	1	0	0	0
ASV0500	0	0	0	0	0	2
ASV0501	0	0	0	0	0	1
ASV0502	0	0	0	1	0	1
ASV0503	4	6	4	3	0	1
ASV0504	0	0	0	1	0	0
ASV0505	0	0	0	0	1	0
ASV0506	0	0	0	0	1	0
ASV0507	1	0	2	0	1	0
ASV0508	0	0	0	1	7	0
ASV0509	0	0	0	1	1	0
ASV0510	0	0	0	4	13	4
ASV0511	0	0	0	2	42	7
ASV0512	0	0	0	0	1	0
ASV0513	0	0	0	12	115	49
ASV0514	3	0	0	0	0	0
ASV0515	2	2	0	0	0	0
ASV0516	2	7	9	0	0	0
ASV0517	0	3	0	0	0	0
ASV0518	0	0	0	4	5	0
ASV0519	0	0	0	11	0	0
ASV0520	0	1	0	0	0	0
ASV0521	0	0	0	0	0	1
ASV0522	0	0	0	4	0	0
ASV0523	0	0	0	0	36	57
ASV0524	0	1	0	0	0	0
ASV0525	2	1	2	0	0	0
ASV0526	0	1	2	0	0	0
ASV0527	8	16	11	1	0	0
ASV0528	0	0	0	2	0	0
ASV0529	0	0	0	3	0	10
ASV0530	0	0	0	0	0	1
ASV0531	5	5	27	0	0	0
ASV0532	0	0	0	1	1	0
ASV0533	1	0	0	0	1	0
ASV0534	0	0	1	17	11	17
ASV0535	0	0	0	0	1	6
ASV0536	0	0	0	1	2	1
ASV0537	0	0	0	1	1	0
ASV0538	0	0	0	1	0	0
ASV0539	0	0	0	2	0	0
ASV0540	0	0	0	0	9	2
ASV0541	1	0	0	0	0	0
ASV0542	0	0	0	0	2	0
ASV0543	0	0	0	0	1	0
ASV0544	0	0	0	0	1	0
ASV0545	0	0	0	0	1	0
ASV0546	0	0	0	0	2	0
ASV0547	0	0	0	0	1	0
ASV0548	0	0	0	0	1	0
ASV0549	0	0	0	0	1	0
ASV0550	0	0	0	1	0	0
ASV0551	0	0	0	1	1	0
ASV0552	0	0	0	49	0	4
ASV0553	0	0	0	0	2	0
ASV0554	0	0	0	0	2	0
ASV0555	0	0	0	0	0	3
ASV0556	0	0	0	3	1	0
ASV0557	0	0	0	0	5	1
ASV0558	0	0	0	1	0	1
ASV0559	3	2	1	0	0	0
ASV0560	0	0	0	2	0	0
ASV0561	0	0	0	2	1	0
ASV0562	4	0	0	12	2	14
ASV0563	0	0	0	1	1	0
ASV0564	0	0	0	1	2	0
ASV0565	0	0	1	0	0	0
ASV0566	0	0	0	2	0	0
ASV0567	0	0	0	2	0	0
ASV0568	0	0	1	0	0	0
ASV0569	0	0	0	1	0	0
ASV0570	0	0	0	0	0	1
ASV0571	345	133	67	0	0	0
ASV0572	0	0	0	53	0	12
ASV0573	1	0	1	0	0	0
ASV0574	0	0	0	4	5	1
ASV0575	0	0	0	0	0	1
ASV0576	1	1	0	0	0	0
ASV0577	0	0	0	0	0	2
ASV0578	0	0	0	0	0	1
ASV0579	2	0	2	0	0	0
ASV0580	0	0	0	1	0	2
ASV0581	0	0	0	59	0	6
ASV0582	0	0	0	0	0	1
ASV0583	0	0	0	0	1	1
ASV0584	0	0	0	0	0	1
ASV0585	0	1	0	0	0	1
ASV0586	0	0	0	3	0	0
ASV0587	0	0	0	0	1	0
ASV0588	0	0	0	1	0	0
ASV0589	0	0	0	1	0	0
ASV0590	0	0	0	1	0	0
ASV0591	15	6	6	0	0	2
ASV0592	0	0	0	1	0	0
ASV0593	0	0	0	0	1	0
ASV0594	0	0	0	1	0	0
ASV0595	0	0	0	1	0	0
ASV0596	0	0	0	1	0	0
ASV0597	0	0	0	0	0	1
ASV0598	0	0	0	1	1	2
ASV0599	0	0	0	0	0	1
ASV0600	0	0	0	0	0	1
ASV0601	0	0	0	0	1	0
ASV0602	0	108	1	0	0	0
ASV0603	7	12	2	0	0	0
ASV0604	0	0	0	1	0	2
ASV0605	0	0	0	0	0	2
ASV0606	0	0	0	0	0	1
ASV0607	0	0	0	1	0	2
ASV0608	0	0	0	3	0	4
ASV0609	0	0	0	0	0	1
ASV0610	0	0	0	0	0	2
ASV0611	0	0	0	0	0	1
ASV0612	14	25	27	14	21	1
ASV0613	0	0	0	0	0	1
ASV0614	0	0	0	0	0	2
ASV0615	0	0	0	0	1	0
ASV0616	0	0	0	0	1	0
ASV0617	0	0	0	2	0	0
ASV0618	0	0	0	0	2	0
ASV0619	0	0	0	3	0	0
ASV0620	0	0	0	1	3	1
ASV0621	0	0	0	2	1	1
ASV0622	0	0	0	0	1	0
ASV0623	11	14	19	37	67	79
ASV0624	0	0	0	0	0	1
ASV0625	0	0	0	0	0	1
ASV0626	0	0	0	0	0	4
ASV0627	0	0	0	0	0	1
ASV0628	1	0	0	0	0	0
ASV0629	0	0	0	0	0	1
ASV0630	0	0	0	5	0	0
ASV0631	0	0	0	1	0	0
ASV0632	0	0	0	18	11	3
ASV0633	0	0	0	1	0	0
ASV0634	0	0	0	4	0	0
ASV0635	0	0	0	1	0	0
ASV0636	0	0	0	0	1	0
ASV0637	0	0	0	0	1	0
ASV0638	0	0	0	1	0	0
ASV0639	0	0	0	1	0	0
ASV0640	0	0	0	3	0	0
ASV0641	0	0	0	7	1	3
ASV0642	0	0	0	1	0	0
ASV0643	0	0	0	34	17	60
ASV0644	0	0	0	3	1	3
ASV0645	0	0	0	2	3	0
ASV0646	0	0	0	1	0	0
ASV0647	0	0	0	9	0	0
ASV0648	0	0	0	1	0	0
ASV0649	0	0	0	0	1	0
ASV0650	0	0	0	0	3	0
ASV0651	0	0	0	2	5	6
ASV0652	1	2	0	0	0	0
ASV0653	0	0	1	0	0	0
ASV0654	0	0	0	27	2	35
ASV0655	0	0	0	1	0	2
ASV0656	1	1	0	0	0	0
ASV0657	0	0	0	0	1	1
ASV0658	0	0	0	0	0	3
ASV0659	0	0	0	0	0	1
ASV0660	0	0	0	0	0	1
ASV0661	0	0	0	8	2	11
ASV0662	1	3	0	0	0	0
ASV0663	0	0	1	0	0	0
ASV0664	0	2	0	17	8	10
ASV0665	0	0	0	0	0	1
ASV0666	0	0	0	17	0	26
ASV0667	0	0	0	4	0	1
ASV0668	0	0	0	0	0	1
ASV0669	0	0	0	2	0	0
ASV0670	0	0	0	1	0	0
ASV0671	0	0	0	1	0	0
ASV0672	0	0	0	2	0	0
ASV0673	0	0	0	0	1	0
ASV0674	44	8	5	17	10	5
ASV0675	0	0	5	33	19	19
ASV0676	0	0	0	0	1	0
ASV0677	1	0	0	0	0	0
ASV0678	23	1	9	5	48	63
ASV0679	1	0	0	0	0	0
ASV0680	0	1	1	0	0	0
ASV0681	0	0	0	2	3	8
ASV0682	0	0	0	0	0	2
ASV0683	0	0	0	0	0	1
ASV0684	0	1	0	41	53	67
ASV0685	0	0	0	0	0	1
ASV0686	0	0	0	0	0	1
ASV0687	0	0	0	0	0	2
ASV0688	0	0	0	0	0	1
ASV0689	0	0	0	1	0	0
ASV0690	0	0	0	1	0	1
ASV0691	0	0	0	1	2	1
ASV0692	0	0	0	84	0	0
ASV0693	0	0	0	0	1	0
ASV0694	0	0	0	0	1	0
ASV0695	0	0	0	2	9	0
ASV0696	0	0	0	1	0	0
ASV0697	0	0	0	2	2	4
ASV0698	0	0	0	0	0	1
ASV0699	0	0	0	0	0	1
ASV0700	0	0	0	0	0	1
ASV0701	0	0	0	7	0	0
ASV0702	23	0	4	3	23	48
ASV0703	0	0	0	0	1	0
ASV0704	0	0	0	1	0	0
ASV0705	0	0	0	5	2	0
ASV0706	0	0	0	2	0	0
ASV0707	0	0	0	1	0	0
ASV0708	0	0	0	1	0	0
ASV0709	4	3	2	0	0	0
ASV0710	0	1	0	0	0	0
ASV0711	0	0	0	3	1	0
ASV0712	0	3	3	0	0	0
ASV0713	0	0	0	1	0	0
ASV0714	0	0	0	1	0	0
ASV0715	0	0	0	1	0	0
ASV0716	0	0	0	1	0	1
ASV0717	0	0	0	0	0	1
ASV0718	0	5	0	0	10	16
ASV0719	1	7	5	0	0	0
ASV0720	0	1	0	0	0	0
ASV0721	1	0	0	0	0	0
ASV0722	0	0	0	43	49	4
ASV0723	0	0	0	0	0	1
ASV0724	0	0	0	0	0	3
ASV0725	0	0	0	0	0	2
ASV0726	0	0	0	1	0	7
ASV0727	0	0	0	0	0	1
ASV0728	0	0	0	1	0	0
ASV0729	0	0	0	1	0	0
ASV0730	0	0	0	0	1	0
ASV0731	0	0	0	2	0	0
ASV0732	0	0	0	0	0	1
ASV0733	0	0	0	0	1	0
ASV0734	0	0	0	0	0	1
ASV0735	0	0	0	0	0	1
ASV0736	1	0	0	1	0	0
ASV0737	0	0	0	1	0	0
ASV0738	0	0	0	0	1	0
ASV0739	0	0	0	2	0	0
ASV0740	0	0	0	3	0	0
ASV0741	0	0	0	1	0	0
ASV0742	0	0	0	27	23	1
ASV0743	0	0	0	0	1	0
ASV0744	0	0	0	0	3	0
ASV0745	0	0	0	0	1	0
ASV0746	0	0	0	1	0	0
ASV0747	0	0	0	3	0	3
ASV0748	0	0	0	1	0	0
ASV0749	0	0	0	0	0	1
ASV0750	1	0	3	0	0	1
ASV0751	0	0	0	33	23	15
ASV0752	0	0	0	1	0	0
ASV0753	0	0	0	0	0	3
ASV0754	0	0	0	1	1	2
ASV0755	0	0	0	0	1	0
ASV0756	0	0	0	0	1	1
ASV0757	0	0	0	0	1	0
ASV0758	0	0	0	1	0	0
ASV0759	0	0	0	3	2	0
ASV0760	16	8	7	0	0	0
ASV0761	0	0	0	0	1	0
ASV0762	0	0	0	0	1	0
ASV0763	0	0	0	0	1	1
ASV0764	0	0	0	0	1	0
ASV0765	0	0	0	0	1	0
ASV0766	0	0	0	0	1	0
ASV0767	0	1	0	0	0	0
ASV0768	0	0	0	1	0	0
ASV0769	0	0	0	1	0	0
ASV0770	0	75	1	32	133	249
ASV0771	0	0	0	36	49	32
ASV0772	0	0	0	1	0	0
ASV0773	0	0	0	1	0	0
ASV0774	0	0	0	0	15	0
