OTU	A1	A2	A3	B1	B2	B3
ASV0775	14	19	8	0	0	0
ASV0776	0	0	0	1	0	2
ASV0777	0	0	0	2	0	0
ASV0778	0	0	0	1	0	0
ASV0779	0	0	0	1	0	0
ASV0780	0	0	0	34	10	6
ASV0781	0	0	0	0	0	1
ASV0782	2	1	1	0	0	0
ASV0783	0	0	0	0	1	0
ASV0784	0	0	0	0	1	0
ASV0785	0	0	0	0	0	1
ASV0786	0	0	0	0	0	1
ASV0787	0	0	0	0	0	1
ASV0788	0	0	0	1	0	0
ASV0789	0	0	0	1	0	0
ASV0790	14	4	8	0	0	0
ASV0791	0	0	0	1	0	0
ASV0792	0	0	0	1	0	0
ASV0793	0	0	0	1	0	0
ASV0794	0	0	0	4	1	0
ASV0795	0	0	0	1	0	0
ASV0796	0	0	0	1	0	0
ASV0797	0	0	0	2	0	1
ASV0798	0	0	0	28	0	0
ASV0799	0	0	0	1	1	0
ASV0800	1	0	0	0	0	0
ASV0801	15	33	11	5	6	7
ASV0802	0	0	0	2	0	0
ASV0803	0	0	0	1	0	0
ASV0804	0	0	0	3	6	1
ASV0805	0	0	0	1	1	0
ASV0806	0	0	0	4	0	6
ASV0807	0	0	0	0	0	1
ASV0808	0	0	0	0	0	1
ASV0809	0	0	0	41	62	33
ASV0810	0	0	0	0	0	1
ASV0811	0	3	1	0	0	0
ASV0812	0	0	0	1	5	8
ASV0813	0	0	0	0	0	1
ASV0814	0	0	0	1	0	0
ASV0815	0	0	0	5	0	0
ASV0816	0	0	0	7	3	6
ASV0817	0	0	0	2	0	16
ASV0818	1	1	0	0	0	0
ASV0819	0	0	0	0	2	2
ASV0820	0	0	0	1	0	36
ASV0821	0	0	0	0	3	0
ASV0822	0	0	0	0	1	1
ASV0823	0	0	0	0	0	2
ASV0824	0	1	2	0	0	0
ASV0825	0	0	0	0	1	0
ASV0826	0	0	0	0	3	0
ASV0827	0	0	0	1	2	0
ASV0828	0	0	0	15	30	9
ASV0829	0	0	0	0	1	0
ASV0830	0	0	0	0	0	1
ASV0831	0	0	0	0	0	2
ASV0832	0	0	0	1	0	0
ASV0833	0	0	0	1	0	0
ASV0834	0	0	0	0	1	0
ASV0835	0	0	0	1	0	0
ASV0836	4	0	2	1	0	0
ASV0837	12	15	9	0	0	0
ASV0838	0	0	3	0	0	0
ASV0839	0	0	0	35	0	8
ASV0840	0	0	2	0	0	0
ASV0841	0	0	0	0	1	0
ASV0842	0	0	0	3	0	0
ASV0843	0	0	0	0	1	0
ASV0844	0	0	0	1	0	0
ASV0845	0	0	0	1	0	0
ASV0846	142	93	146	1	1	0
ASV0847	0	0	0	0	0	1
ASV0848	0	0	0	0	0	1
ASV0849	86	35	21	0	0	0
ASV0850	0	0	0	0	0	1
ASV0851	0	0	0	0	0	1
ASV0852	0	0	0	2	0	1
ASV0853	0	0	1	0	0	0
ASV0854	0	0	0	0	0	1
ASV0855	0	0	0	0	0	1
ASV0856	0	0	0	0	0	1
ASV0857	2	2	1	0	0	0
ASV0858	1	0	0	0	0	0
ASV0859	0	0	0	0	1	0
ASV0860	0	0	0	2	19	0
ASV0861	0	0	0	3	0	5
ASV0862	0	0	0	1	0	0
ASV0863	11	3	4	5	22	6
ASV0864	22	30	15	0	0	0
ASV0865	0	0	0	2	0	1
ASV0866	0	0	0	1	0	0
ASV0867	0	0	0	26	6	0
ASV0868	0	0	0	0	0	2
ASV0869	0	0	0	220	436	361
ASV0870	0	0	0	54	1	10
ASV0871	0	0	0	3	0	1
ASV0872	0	0	0	0	0	1
ASV0873	0	0	0	0	1	1
ASV0874	0	3	0	0	0	0
ASV0875	0	0	0	0	1	0
ASV0876	0	0	0	0	1	0
ASV0877	0	0	0	0	1	0
ASV0878	0	0	0	2	6	0
ASV0879	0	0	0	0	0	1
ASV0880	0	0	0	5	17	0
ASV0881	0	0	0	4	2	12
ASV0882	0	0	0	0	0	1
ASV0883	0	0	0	0	0	1
ASV0884	0	0	0	0	0	1
ASV0885	0	0	0	0	0	1
ASV0886	0	0	0	2	1	7
ASV0887	0	0	1	0	0	0
ASV0888	0	0	0	106	0	0
ASV0889	0	0	0	1	0	0
ASV0890	0	0	0	0	12	0
ASV0891	0	0	0	0	3	0
ASV0892	0	0	0	2	0	0
ASV0893	0	0	0	1	0	0
ASV0894	0	0	0	1	0	0
ASV0895	0	0	0	2	0	0
ASV0896	0	0	0	0	0	1
ASV0897	0	0	0	1	0	0
ASV0898	0	0	2	0	0	0
ASV0899	0	0	0	12	5	22
ASV0900	5	3	3	0	0	0
ASV0901	0	0	0	1	1	0
ASV0902	0	0	0	1	0	0
ASV0903	0	0	0	1	0	1
ASV0904	0	0	0	0	0	3
ASV0905	0	0	0	0	0	1
ASV0906	0	0	0	0	0	1
ASV0907	0	0	0	1	0	0
ASV0908	0	0	0	1	2	0
ASV0909	0	4	1	8	7	13
ASV0910	0	0	0	1	0	0
ASV0911	0	0	0	0	1	0
ASV0912	0	0	0	1	5	0
ASV0913	0	0	0	0	0	1
ASV0914	0	0	0	0	0	1
ASV0915	0	0	0	0	0	1
ASV0916	0	1	0	0	0	0
ASV0917	0	0	0	2	0	0
ASV0918	0	0	0	14	10	22
ASV0919	0	0	0	1	0	0
ASV0920	0	0	0	1	0	0
ASV0921	0	0	0	2	0	0
ASV0922	0	0	0	4	1	1
ASV0923	0	0	0	0	1	0
ASV0924	0	0	0	0	0	2
ASV0925	0	0	0	1	0	1
ASV0926	0	0	0	0	0	1
ASV0927	0	0	0	1	0	0
ASV0928	0	0	0	20	56	31
ASV0929	0	0	0	2	0	0
ASV0930	0	0	0	0	1	0
ASV0931	0	0	0	1	1	0
ASV0932	0	0	0	0	1	0
ASV0933	0	0	0	18	4	4
ASV0934	0	0	0	1	0	0
ASV0935	2	1	2	0	0	0
ASV0936	0	0	0	1	0	0
ASV0937	0	0	0	7	3	0
ASV0938	0	1	0	155	23	177
ASV0939	0	0	0	0	3	1
ASV0940	0	0	0	2	0	0
ASV0941	0	0	0	4	0	1
ASV0942	0	0	0	1	0	0
ASV0943	0	0	0	70	20	147
ASV0944	1	0	0	0	0	0
ASV0945	0	0	0	1	0	0
ASV0946	0	0	0	2	0	2
ASV0947	0	0	0	1	0	3
ASV0948	0	0	0	0	0	1
ASV0949	0	0	0	0	0	1
ASV0950	0	0	0	1	0	6
ASV0951	0	0	0	6	0	4
ASV0952	0	0	0	0	0	1
ASV0953	0	0	0	0	0	1
ASV0954	43	50	56	0	0	0
ASV0955	0	0	0	0	0	1
ASV0956	0	0	0	0	0	1
ASV0957	0	0	0	0	0	1
ASV0958	0	1	0	0	0	0
ASV0959	0	0	0	1	1	2
ASV0960	0	0	0	0	1	0
ASV0961	0	0	0	0	10	0
ASV0962	0	0	0	0	5	1
ASV0963	0	0	0	0	1	0
ASV0964	0	0	0	1	0	1
ASV0965	1	2	0	1525	987	2559
ASV0966	212	278	267	29	0	0
ASV0967	0	4	1	4	0	0
ASV0968	0	0	0	1	0	0
ASV0969	0	0	0	1	0	0
ASV0970	0	0	0	1	0	0
ASV0971	0	0	0	1	1	0
ASV0972	0	0	0	0	1	0
ASV0973	0	0	0	1	0	0
ASV0974	0	0	0	0	1	0
ASV0975	0	0	0	1	0	0
ASV0976	2	1	2	0	0	0
ASV0977	0	0	0	5	4	14
ASV0978	0	0	0	1	0	0
ASV0979	0	0	0	0	1	0
ASV0980	0	0	0	1	0	0
ASV0981	0	0	0	1	0	0
ASV0982	0	0	0	0	2	0
ASV0983	0	0	0	2	4	7
ASV0984	0	0	0	1	0	0
ASV0985	180	176	125	0	0	0
ASV0986	0	0	0	1	0	0
ASV0987	0	0	0	1	0	0
ASV0988	0	0	0	1	0	0
ASV0989	0	0	0	1	0	0
ASV0990	0	0	0	0	0	1
ASV0991	0	0	0	0	0	2
ASV0992	1	0	0	0	0	0
ASV0993	0	0	0	2	0	0
ASV0994	0	0	0	1	0	0
ASV0995	7	7	1	0	0	0
ASV0996	0	0	0	1	0	0
ASV0997	0	0	1	0	0	0
ASV0998	0	1	0	0	0	0
ASV0999	0	0	0	1	0	0
ASV1000	0	0	0	0	0	1
ASV1001	0	0	0	0	0	1
ASV1002	0	0	2	1	0	0
ASV1003	0	0	0	10	0	0
ASV1004	0	0	0	8	6	13
ASV1005	0	0	0	19	1	0
ASV1006	0	0	0	1	0	0
ASV1007	0	0	1	0	0	0
ASV1008	0	0	0	0	0	2
ASV1009	1	1	0	7	1	10
ASV1010	0	0	0	0	0	1
ASV1011	0	0	0	0	0	1
ASV1012	2	0	0	0	0	0
ASV1013	0	0	0	4	43	9
ASV1014	0	0	0	0	1	1
ASV1015	0	0	0	0	1	0
ASV1016	0	0	0	1	1	0
ASV1017	0	0	0	0	2	0
ASV1018	0	0	0	0	1	0
ASV1019	0	0	0	0	1	0
ASV1020	1	0	0	0	0	0
ASV1021	0	0	0	1	0	2
ASV1022	0	0	0	0	0	1
ASV1023	0	0	0	0	1	0
ASV1024	0	0	0	2	5	3
ASV1025	0	0	0	0	1	0
ASV1026	0	0	0	0	2	0
ASV1027	0	0	0	9	5	7
ASV1028	0	0	0	0	1	0
ASV1029	0	0	0	0	1	0
ASV1030	0	0	0	0	1	0
ASV1031	0	0	0	0	1	0
ASV1032	0	0	1	0	0	0
ASV1033	3	0	2	1	0	0
ASV1034	0	0	0	24	19	10
ASV1035	0	0	0	1	0	0
ASV1036	0	0	0	1	0	0
ASV1037	0	0	0	1	0	0
ASV1038	0	0	0	1	0	0
ASV1039	0	0	0	1	17	3
ASV1040	0	0	4	1	0	1
ASV1041	0	0	0	1	0	0
ASV1042	0	0	0	0	1	0
ASV1043	0	16	0	8	29	64
ASV1044	0	0	0	1	0	0
ASV1045	0	0	1	0	0	0
ASV1046	7	16	3	0	0	0
ASV1047	0	0	0	1	0	0
ASV1048	0	0	0	1	1	0
ASV1049	1	0	0	0	0	0
ASV1050	0	0	0	0	0	1
ASV1051	0	0	0	5	38	95
ASV1052	1	6	3	0	0	0
ASV1053	0	0	0	0	1	0
ASV1054	0	0	1	3	0	3
ASV1055	0	0	0	0	0	1
ASV1056	0	0	4	0	4	2
ASV1057	0	0	0	1	0	0
ASV1058	0	0	0	1	0	0
ASV1059	0	0	0	0	1	0
ASV1060	0	0	0	1	0	0
ASV1061	0	0	0	1	0	0
ASV1062	0	0	0	5	231	428
ASV1063	0	0	0	0	0	86
ASV1064	0	0	0	1	0	0
ASV1065	0	0	0	1	0	0
ASV1066	0	0	0	1	0	0
ASV1067	0	0	2	0	0	0
ASV1068	0	0	0	0	0	1
ASV1069	0	0	0	1	0	0
ASV1070	0	0	0	0	2	0
ASV1071	0	0	0	1	0	0
ASV1072	1	0	1	0	0	0
ASV1073	0	0	0	13	0	14
ASV1074	0	0	0	0	0	1
ASV1075	0	0	0	1	3	3
ASV1076	0	0	0	0	1	0
ASV1077	0	0	0	2	0	1
ASV1078	0	0	0	0	0	1
ASV1079	0	0	0	0	0	1
ASV1080	0	0	0	1	0	1
ASV1081	0	0	0	0	1	0
ASV1082	0	0	0	20	39	35
ASV1083	0	0	0	1	0	0
ASV1084	0	0	0	2	0	0
ASV1085	0	0	0	1	0	0
ASV1086	0	0	0	1	0	0
ASV1087	0	0	0	5	16	5
ASV1088	0	0	0	1	0	0
ASV1089	0	0	0	1	0	0
ASV1090	0	0	0	2	0	0
ASV1091	0	0	0	0	1	0
ASV1092	0	0	0	0	1	0
ASV1093	66	56	58	0	5	5
ASV1094	0	0	0	1	0	0
ASV1095	7	0	2	0	0	0
ASV1096	0	1	0	0	0	0
ASV1097	1	0	0	0	0	0
ASV1098	0	8	1	0	0	0
ASV1099	0	0	0	0	1	0
ASV1100	0	0	0	0	0	1
ASV1101	52	37	133	3	3	11
ASV1102	0	0	0	3	1	0
ASV1103	0	0	0	2	0	0
ASV1104	0	0	0	1	0	0
ASV1105	0	0	0	1	0	0
ASV1106	0	0	0	0	0	2
ASV1107	0	0	0	0	0	2
ASV1108	0	0	0	4	3	1
ASV1109	0	0	0	0	0	2
ASV1110	0	1	0	0	0	0
ASV1111	0	1	0	0	0	0
ASV1112	42	24	23	17	5	12
ASV1113	0	0	0	1	0	1
ASV1114	0	0	0	1	1	4
ASV1115	0	0	0	1	0	7
ASV1116	0	0	0	0	1	0
ASV1117	0	0	0	0	0	1
ASV1118	0	0	0	0	1	0
ASV1119	0	0	0	0	1	0
ASV1120	0	0	0	0	1	1
ASV1121	0	0	0	0	0	1
ASV1122	0	0	0	5	6	7
ASV1123	8	6	23	0	0	0
ASV1124	0	0	3	0	0	0
ASV1125	0	0	0	1	0	0
ASV1126	0	0	0	1	0	0
ASV1127	0	0	0	2	0	0
ASV1128	0	1	0	0	0	0
ASV1129	0	0	0	1	0	0
ASV1130	0	1	0	0	0	0
ASV1131	0	0	0	6	8	62
ASV1132	0	0	1	0	0	0
ASV1133	0	0	0	0	0	2
ASV1134	0	0	0	0	0	1
ASV1135	0	0	0	0	0	1
ASV1136	0	0	0	4	6	2
ASV1137	0	0	0	0	0	1
ASV1138	18	6	2	0	0	0
ASV1139	0	0	0	0	0	1
ASV1140	0	0	0	61	4	72
ASV1141	0	0	0	0	0	1
ASV1142	0	0	0	1	0	0
ASV1143	0	0	0	3	0	9
ASV1144	0	0	0	2	3	1
ASV1145	0	0	0	1	0	0
ASV1146	0	0	0	1	0	1
ASV1147	0	0	0	8	0	1
ASV1148	0	0	0	0	1	0
ASV1149	0	0	0	0	1	0
ASV1150	0	1	1	0	0	0
ASV1151	0	0	0	17	3	25
ASV1152	0	0	0	0	0	1
ASV1153	0	0	0	1	0	2
ASV1154	1	4	0	0	0	1
ASV1155	0	0	0	0	0	1
ASV1156	0	0	0	0	0	1
ASV1157	0	0	0	0	0	1
ASV1158	0	0	0	0	0	1
ASV1159	1	0	0	0	0	0
ASV1160	1	0	0	0	0	0
ASV1161	432	176	45	0	0	0
ASV1162	0	0	0	54	2	13
ASV1163	3	0	0	0	0	0
ASV1164	0	0	0	0	1	0
ASV1165	0	0	0	0	4	1
ASV1166	0	0	0	1	0	0
ASV1167	0	0	0	1	0	0
ASV1168	0	0	0	0	0	1
ASV1169	0	0	0	0	0	1
ASV1170	3	4	0	6	10	58
ASV1171	0	0	0	0	0	1
ASV1172	0	0	0	1	0	0
ASV1173	0	0	0	1	0	0
ASV1174	0	0	0	1	0	0
ASV1175	0	0	0	1	0	0
ASV1176	0	0	0	1	0	0
ASV1177	0	0	0	3	2	0
ASV1178	0	0	0	1	0	0
ASV1179	8	3	56	32	1	9
ASV1180	1	0	1	44	19	20
ASV1181	0	0	0	1	0	0
ASV1182	0	0	0	1	2	2
ASV1183	0	1	0	0	0	0
ASV1184	0	1	0	0	0	0
ASV1185	0	1	0	0	0	0
ASV1186	0	0	1	0	0	0
ASV1187	0	0	0	0	0	2
ASV1188	0	0	0	0	0	1
ASV1189	190	121	86	0	0	0
ASV1190	0	0	0	0	0	1
ASV1191	0	0	0	3	1	0
ASV1192	0	0	0	0	0	1
ASV1193	1	0	0	0	0	0
ASV1194	0	0	0	1	0	0
ASV1195	0	0	0	0	1	0
ASV1196	0	0	0	0	2	0
ASV1197	0	0	0	0	2	0
ASV1198	0	0	0	2	0	3
ASV1199	0	0	0	2	0	32
ASV1200	0	0	0	0	1	0
ASV1201	1	0	1	0	0	0
ASV1202	0	0	0	5	2	10
ASV1203	0	0	0	0	1	0
ASV1204	0	0	0	0	3	0
ASV1205	0	0	0	0	1	0
ASV1206	0	0	0	1	0	0
ASV1207	0	0	0	1	6	5
ASV1208	0	1	0	0	0	0
ASV1209	1	0	1	0	0	0
ASV1210	0	0	0	0	1	0
ASV1211	0	0	0	1	8	0
ASV1212	0	0	0	0	1	0
ASV1213	0	0	0	1	1	0
ASV1214	0	0	0	1	0	0
ASV1215	0	0	0	4	3	1
ASV1216	0	0	0	0	1	0
ASV1217	0	0	0	77	3	0
ASV1218	0	0	0	0	1	1
ASV1219	0	0	0	1	0	0
ASV1220	0	0	0	0	1	0
ASV1221	0	0	0	2	0	0
ASV1222	0	0	0	1	0	0
ASV1223	0	0	0	1	0	0
ASV1224	0	0	0	1	0	0
ASV1225	0	0	0	1	0	0
ASV1226	0	0	0	3	2	18
ASV1227	0	0	1	0	0	0
ASV1228	0	0	0	1	0	0
ASV1229	0	0	0	0	1	0
ASV1230	0	0	0	0	1	0
ASV1231	0	0	0	0	1	1
ASV1232	0	2	5	0	0	0
ASV1233	0	1	0	0	0	0
ASV1234	31	2	3	0	0	0
ASV1235	0	1	0	0	0	0
ASV1236	0	0	0	0	0	1
ASV1237	0	0	0	4	14	9
ASV1238	0	0	0	0	5	0
ASV1239	0	0	0	0	1	0
ASV1240	0	0	0	0	0	1
ASV1241	0	0	0	0	0	1
ASV1242	0	0	0	0	0	1
ASV1243	8	3	0	0	0	0
ASV1244	0	0	0	1	0	0
ASV1245	0	1	0	1	1	1
ASV1246	0	0	0	6	0	0
ASV1247	0	0	0	1	1	2
ASV1248	0	0	0	0	1	0
ASV1249	0	0	0	0	2	0
ASV1250	0	0	0	0	1	0
ASV1251	0	0	0	0	0	1
ASV1252	0	0	0	0	0	2
ASV1253	0	0	0	2	0	0
ASV1254	201	275	134	0	0	0
ASV1255	0	0	0	14	47	16
ASV1256	0	0	0	2	0	0
ASV1257	0	0	0	0	4	3
ASV1258	0	0	0	1	0	0
ASV1259	0	0	0	1	0	1
ASV1260	0	0	0	1	0	0
ASV1261	5	3	6	0	0	0
ASV1262	0	0	0	0	1	0
ASV1263	0	0	0	1	1	1
ASV1264	0	0	0	1	0	0
ASV1265	0	0	0	40	471	1
ASV1266	0	0	2	0	0	0
ASV1267	0	0	0	1	0	0
ASV1268	0	0	0	2	0	0
ASV1269	0	0	0	1	0	0
ASV1270	0	0	0	3	0	0
ASV1271	0	0	1	0	0	0
ASV1272	0	0	0	1	0	0
ASV1273	0	0	0	0	0	1
ASV1274	1	0	0	0	0	0
ASV1275	0	0	0	0	1	1
ASV1276	1	1	0	0	0	0
ASV1277	0	0	0	1	0	0
ASV1278	0	0	0	1	0	0
ASV1279	1	0	0	0	0	0
ASV1280	0	0	0	2	7	60
ASV1281	0	0	0	2	0	1
ASV1282	0	0	0	0	1	4
ASV1283	0	0	0	1	0	0
ASV1284	0	0	0	0	1	0
ASV1285	0	0	0	95	142	63
ASV1286	0	0	0	1	1	0
ASV1287	0	0	0	1	0	0
ASV1288	0	0	0	2	0	0
ASV1289	0	0	0	0	1	0
ASV1290	0	0	0	2	1	3
ASV1291	0	0	0	1	0	0
ASV1292	0	0	0	0	1	0
ASV1293	1	4	1	0	0	0
ASV1294	0	2	0	3	0	1
ASV1295	0	0	0	1	0	0
ASV1296	0	0	0	1	0	0
ASV1297	0	1	1	0	0	0
ASV1298	0	1	1	0	0	0
ASV1299	0	0	0	0	2	0
ASV1300	0	0	0	0	1	0
ASV1301	0	0	0	1	0	0
ASV1302	0	0	0	1	0	0
ASV1303	0	0	0	0	1	0
ASV1304	1	0	0	4	15	0
ASV1305	0	0	0	122	10	127
ASV1306	0	0	0	1	0	0
ASV1307	9	10	8	0	0	0
ASV1308	0	1	0	0	0	0
ASV1309	1	1	0	0	0	0
ASV1310	0	0	0	86	11	48
ASV1311	0	0	0	0	0	1
ASV1312	0	0	0	0	0	1
ASV1313	0	0	0	0	0	1
ASV1314	1391	1222	2211	0	0	0
ASV1315	0	0	1	0	0	0
ASV1316	1	1	0	0	0	0
ASV1317	0	0	0	0	1	0
ASV1318	0	0	0	0	1	1
ASV1319	0	0	0	0	0	1
ASV1320	0	0	0	0	2	1
ASV1321	1	0	1	1	0	0
ASV1322	0	0	0	0	0	1
ASV1323	0	0	0	0	0	4
ASV1324	0	0	0	1	0	0
ASV1325	0	0	0	1	0	0
ASV1326	0	0	0	0	1	0
ASV1327	0	0	0	1	1	0
ASV1328	0	0	0	1	0	0
ASV1329	0	0	0	1	0	0
ASV1330	0	0	0	2	0	0
ASV1331	9	8	17	0	0	7
ASV1332	0	0	0	1	0	0
ASV1333	0	0	0	1	0	0
ASV1334	0	0	0	1	0	0
ASV1335	0	0	0	1	0	0
ASV1336	0	0	0	0	1	0
ASV1337	0	0	0	1	0	0
ASV1338	0	0	1	0	0	0
ASV1339	0	0	0	0	1	0
ASV1340	0	0	0	0	0	1
ASV1341	0	0	0	21	0	1
ASV1342	0	0	0	1	0	0
ASV1343	0	0	0	0	0	1
ASV1344	0	2	1	0	0	0
ASV1345	1	0	0	0	0	0
ASV1346	0	0	0	0	0	1
ASV1347	0	0	0	0	0	1
ASV1348	0	0	0	1	0	0
ASV1349	109	163	137	1	0	2
ASV1350	43	12	27	17	12	16
ASV1351	0	0	0	1	0	0
ASV1352	0	1	1	0	0	0
ASV1353	0	0	0	1	0	0
ASV1354	0	0	0	1	0	0
ASV1355	0	0	0	0	1	0
ASV1356	0	0	0	0	0	2
ASV1357	0	0	0	3	1	2
ASV1358	0	4	0	3	7	23
ASV1359	0	0	0	0	0	1
ASV1360	0	0	0	0	0	1
ASV1361	0	0	0	0	0	2
ASV1362	0	0	0	1	0	0
ASV1363	0	0	0	3	0	0
ASV1364	0	0	0	0	1	0
ASV1365	0	0	0	0	3	0
ASV1366	0	0	0	0	0	1
ASV1367	0	0	0	0	0	1
ASV1368	0	0	0	4	1	2
ASV1369	0	0	0	9	1	0
ASV1370	0	0	0	0	0	2
ASV1371	0	0	0	0	0	1
ASV1372	0	0	0	1	0	0
ASV1373	0	0	0	1	0	0
ASV1374	0	0	0	2	0	1
ASV1375	0	0	0	1	0	0
ASV1376	0	0	0	0	1	0
ASV1377	0	0	0	1	2	1
ASV1378	0	0	0	1	0	0
ASV1379	0	0	0	1	0	0
ASV1380	0	0	0	70	0	1
ASV1381	0	0	0	1	0	0
ASV1382	0	0	0	1	1	0
ASV1383	0	0	0	0	1	0
ASV1384	0	0	0	0	1	0
ASV1385	0	0	0	2	4	1
ASV1386	0	0	0	1	0	0
ASV1387	0	0	0	0	5	2
ASV1388	0	0	0	0	1	0
ASV1389	0	0	1	0	0	0
ASV1390	0	0	0	36	7	9
ASV1391	0	0	1	0	0	0
ASV1392	0	0	0	1	0	0
ASV1393	0	0	0	0	0	1
ASV1394	0	0	0	0	1	7
ASV1395	0	0	0	0	0	1
ASV1396	0	0	0	0	1	0
ASV1397	0	0	0	1	0	0
ASV1398	0	0	0	7	92	15
ASV1399	0	0	0	1	0	0
ASV1400	0	0	0	0	0	1
ASV1401	0	0	0	8	3	7
ASV1402	9	13	7	0	0	0
ASV1403	0	0	0	0	1	0
ASV1404	0	0	0	1	0	0
ASV1405	0	0	0	2	0	0
ASV1406	0	0	0	0	2	0
ASV1407	0	0	0	18	22	20
ASV1408	9	11	4	0	0	0
ASV1409	0	0	0	0	0	2
ASV1410	0	0	0	1	4	1
ASV1411	1	0	0	0	0	0
ASV1412	1	0	0	0	0	0
ASV1413	0	0	0	0	1	0
ASV1414	0	0	0	1	2	1
ASV1415	9	13	8	16	0	11
ASV1416	0	0	0	1	0	0
ASV1417	0	0	0	0	1	0
ASV1418	0	0	0	0	1	0
ASV1419	0	0	0	0	1	0
ASV1420	0	0	0	1	0	0
ASV1421	0	0	0	0	1	0
ASV1422	0	0	0	0	1	0
ASV1423	0	0	0	0	1	0
ASV1424	21	6	38	2	0	3
ASV1425	0	0	0	1	0	0
ASV1426	0	0	1	0	0	0
ASV1427	0	1	0	0	0	0
ASV1428	0	0	0	0	0	1
ASV1429	0	0	0	0	0	1
ASV1430	0	0	0	0	0	1
ASV1431	0	0	0	1	0	2
ASV1432	0	0	0	0	0	1
ASV1433	0	0	0	0	0	1
ASV1434	0	0	0	9	1	17
ASV1435	0	0	0	0	0	1
ASV1436	0	0	0	0	0	1
ASV1437	0	0	0	0	0	1
ASV1438	0	0	0	0	0	2
ASV1439	0	0	0	1	0	0
ASV1440	0	0	0	0	0	2
ASV1441	0	0	0	0	0	1
ASV1442	2	0	0	0	0	0
ASV1443	0	0	0	340	6	0
ASV1444	21	56	14	0	0	0
ASV1445	2	1	0	0	0	0
ASV1446	4	2	0	0	0	0
ASV1447	6	12	9	0	0	0
ASV1448	0	0	0	0	1	0
ASV1449	0	0	0	0	1	0
ASV1450	0	0	0	0	2	0
ASV1451	0	0	0	0	1	0
ASV1452	0	0	0	0	1	0
ASV1453	0	0	0	1	0	0
ASV1454	0	0	0	1	0	4
ASV1455	34	7	7	0	0	0
ASV1456	0	0	0	0	1	0
ASV1457	0	0	0	0	1	0
ASV1458	0	0	0	0	1	0
ASV1459	0	0	0	3	7	0
ASV1460	0	0	0	0	1	0
ASV1461	0	0	0	0	1	0
ASV1462	0	0	0	1	0	1
ASV1463	0	1	0	0	0	0
ASV1464	0	0	0	0	0	1
ASV1465	0	0	0	5	2	6
ASV1466	0	0	0	0	0	1
ASV1467	0	0	0	0	0	5
ASV1468	0	0	0	0	0	1
ASV1469	0	0	0	0	0	1
ASV1470	0	0	0	0	0	1
ASV1471	0	0	0	1	0	0
ASV1472	0	0	0	0	1	1
ASV1473	0	0	0	0	1	0
ASV1474	0	0	0	0	1	0
ASV1475	0	0	0	0	4	2
ASV1476	0	0	0	90	42	18
ASV1477	1	4	0	0	0	0
ASV1478	0	0	0	0	2	2
ASV1479	0	0	0	1	1	0
ASV1480	0	0	0	0	0	1
ASV1481	0	0	0	12	0	11
ASV1482	0	0	0	0	1	0
ASV1483	0	0	0	0	1	0
ASV1484	11	14	6	0	0	0
ASV1485	58	30	19	0	0	0
ASV1486	0	0	0	1	0	0
ASV1487	0	0	0	0	0	2
ASV1488	0	0	0	0	0	2
ASV1489	6	6	2	0	0	0
ASV1490	0	0	0	3	11	0
ASV1491	0	0	0	0	2	0
ASV1492	0	0	0	0	0	1
ASV1493	0	0	1	0	0	0
ASV1494	0	0	0	1	0	0
ASV1495	12	0	2	2	2	2
ASV1496	0	0	0	3	3	5
ASV1497	0	0	0	0	1	0
ASV1498	0	0	0	7	1	9
ASV1499	1	3	3	0	0	0
ASV1500	1	2	6	0	0	0
ASV1501	0	1	0	0	0	0
ASV1502	0	0	0	108	14	72
ASV1503	0	0	0	0	2	3
ASV1504	0	0	0	1	0	0
ASV1505	0	0	0	17	43	10
ASV1506	0	0	0	2	0	0
ASV1507	0	0	0	9	3	5
ASV1508	0	0	0	0	1	0
ASV1509	0	0	0	1	5	0
ASV1510	0	0	0	1	0	0
ASV1511	0	0	0	1	0	0
ASV1512	0	0	0	1	0	0
ASV1513	0	0	0	1	1	11
ASV1514	0	0	0	22	5	6
ASV1515	1	0	0	0	0	0
ASV1516	0	0	0	0	0	1
ASV1517	1	0	0	0	0	0
ASV1518	0	0	0	0	0	1
ASV1519	0	0	0	0	1	0
ASV1520	0	0	0	0	1	0
ASV1521	0	0	0	0	2	0
ASV1522	0	0	0	1	0	2
ASV1523	0	0	0	0	1	0
ASV1524	0	0	0	0	1	0
ASV1525	0	0	0	0	0	1
ASV1526	0	0	0	1	0	0
ASV1527	0	0	0	1	0	0
ASV1528	0	0	0	1	1	0
ASV1529	0	0	0	0	2	0
ASV1530	0	0	0	1	0	0
ASV1531	0	0	0	1	0	0
ASV1532	69	22	10	0	0	0
ASV1533	14	10	18	0	0	0
ASV1534	0	0	0	2	1	1
ASV1535	0	0	0	0	1	0
ASV1536	0	0	0	6	0	2
ASV1537	0	0	0	0	1	0
ASV1538	23	27	20	0	0	0
ASV1539	0	0	0	1	0	1
ASV1540	0	0	0	0	1	0
ASV1541	0	0	0	0	7	1
ASV1542	0	0	0	0	1	0
ASV1543	0	0	0	343	20	379
ASV1544	0	0	0	4	21	46
ASV1545	4	2	1	0	0	0
ASV1546	0	1	0	0	0	0
ASV1547	40	46	29	0	0	0
ASV1548	1	0	0	0	0	0
ASV1549	2	1	1	0	0	0
ASV1550	1	0	0	0	0	0
